DATE,TOT INFECTIONS,TOT DEATHS,TOT RECOVERIES,ACTIVE CASES,NEW INFECTIONS,NEW DEATHS,NEW RECOVERIES,INFECTIONS AVE.,DEATHS AV.
14-Mar-2020,1,0,0,1,1,0,0,0,0
15-Mar-2020,1,0,0,1,0,0,0,0,0
16-Mar-2020,1,0,0,1,0,0,0,0,0
17-Mar-2020,1,0,0,1,0,0,0,0,0
18-Mar-2020,1,0,0,1,0,0,0,0,0
19-Mar-2020,1,0,0,1,0,0,0,0,0
20-Mar-2020,1,0,0,1,0,0,0,0,0
21-Mar-2020,1,0,0,1,0,0,0,0,0
22-Mar-2020,4,0,0,4,3,0,0,0,0
23-Mar-2020,4,0,0,4,0,0,0,0,0
24-Mar-2020,4,0,0,4,0,0,0,0,0
25-Mar-2020,4,0,0,4,0,0,0,0,0
26-Mar-2020,6,0,0,6,2,0,0,1,0
27-Mar-2020,9,0,0,9,3,0,0,1,0
28-Mar-2020,9,0,0,9,0,0,0,1,0
29-Mar-2020,9,0,0,9,0,0,0,1,0
30-Mar-2020,9,0,0,9,0,0,0,1,0
31-Mar-2020,9,0,0,9,0,0,0,1,0
1-Apr-2020,9,0,0,9,0,0,0,1,0
2-Apr-2020,9,0,0,9,0,0,0,0,0
3-Apr-2020,9,0,0,9,0,0,0,0,0
4-Apr-2020,9,0,0,9,0,0,0,0,0
5-Apr-2020,9,0,0,9,0,0,0,0,0
6-Apr-2020,10,0,4,6,1,0,4,0,0
7-Apr-2020,10,0,4,6,0,0,0,0,0
8-Apr-2020,12,0,7,5,2,0,3,0,0
9-Apr-2020,12,0,7,5,0,0,0,0,0
10-Apr-2020,12,0,7,5,0,0,0,0,0
11-Apr-2020,12,0,7,5,0,0,0,0,0
12-Apr-2020,14,0,7,7,2,0,0,1,0
13-Apr-2020,15,0,7,8,1,0,0,1,0
14-Apr-2020,15,0,8,7,0,0,1,1,0
15-Apr-2020,15,0,8,7,0,0,0,0,0
16-Apr-2020,16,1,8,7,1,1,0,1,0
17-Apr-2020,16,1,8,7,0,0,0,1,0
18-Apr-2020,22,1,8,13,6,0,0,1,0
19-Apr-2020,22,1,8,13,0,0,0,1,0
20-Apr-2020,24,1,8,15,2,0,0,1,0
21-Apr-2020,31,1,8,22,7,0,0,2,0
22-Apr-2020,31,1,8,22,0,0,0,2,0
23-Apr-2020,31,1,8,22,0,0,0,2,0
24-Apr-2020,36,1,10,25,5,0,2,3,0
25-Apr-2020,56,1,10,45,20,0,0,5,0
26-Apr-2020,59,1,10,48,3,0,0,5,0
27-Apr-2020,65,1,10,54,6,0,0,6,0
28-Apr-2020,71,1,10,60,6,0,0,6,0
29-Apr-2020,91,1,10,80,20,0,0,9,0
30-Apr-2020,100,1,12,87,9,0,2,10,0
1-May-2020,106,1,12,93,6,0,0,10,0
2-May-2020,108,1,12,95,2,0,0,7,0
3-May-2020,112,1,12,99,4,0,0,8,0
4-May-2020,116,1,12,103,4,0,0,7,0
5-May-2020,119,1,12,106,3,0,0,7,0
6-May-2020,123,1,12,110,4,0,0,5,0
7-May-2020,153,2,12,139,30,1,0,8,0
8-May-2020,159,2,12,145,6,0,0,8,0
9-May-2020,163,2,14,147,4,0,2,8,0
10-May-2020,172,2,27,143,9,0,13,9,0
11-May-2020,175,2,28,145,3,0,1,8,0
12-May-2020,184,2,28,154,9,0,0,9,0
13-May-2020,187,2,48,137,3,0,20,9,0
14-May-2020,187,2,51,134,0,0,3,5,0
15-May-2020,190,2,66,122,3,0,15,4,0
16-May-2020,202,2,72,128,12,0,6,6,0
17-May-2020,203,2,73,128,1,0,1,4,0
18-May-2020,205,2,78,125,2,0,5,4,0
19-May-2020,208,2,87,119,3,0,9,3,0
20-May-2020,217,2,97,118,9,0,10,4,0
21-May-2020,220,2,112,106,3,0,15,5,0
22-May-2020,225,2,119,104,5,0,7,5,0
23-May-2020,238,2,119,117,13,0,0,5,0
24-May-2020,250,2,156,92,12,0,37,7,0
25-May-2020,256,2,158,96,6,0,2,7,0
26-May-2020,261,2,164,95,5,0,6,8,0
27-May-2020,272,2,168,102,11,0,4,8,0
28-May-2020,279,2,168,109,7,0,0,8,0
29-May-2020,279,2,168,109,0,0,0,8,0
30-May-2020,283,2,168,113,4,0,0,6,0
31-May-2020,285,2,189,94,2,0,21,5,0
1-Jun-2020,293,3,194,96,8,1,5,5,0
2-Jun-2020,294,3,198,93,1,0,4,5,0
3-Jun-2020,295,3,201,91,1,0,3,3,0
4-Jun-2020,300,3,201,96,5,0,0,3,0
5-Jun-2020,305,3,221,81,5,0,20,4,0
6-Jun-2020,322,3,224,95,17,0,3,6,0
7-Jun-2020,333,3,225,105,11,0,1,7,0
8-Jun-2020,340,3,229,108,7,0,4,7,0
9-Jun-2020,371,3,232,136,31,0,3,11,0
10-Jun-2020,398,3,236,159,27,0,4,15,0
11-Jun-2020,449,3,238,208,51,0,2,21,0
12-Jun-2020,472,3,246,223,23,0,8,24,0
13-Jun-2020,486,3,247,236,14,0,1,23,0
14-Jun-2020,490,4,249,237,4,1,2,22,0
15-Jun-2020,506,4,249,253,16,0,0,24,0
16-Jun-2020,520,4,259,257,14,0,10,21,0
17-Jun-2020,563,4,262,297,43,0,3,24,0
18-Jun-2020,586,4,267,315,23,0,5,20,0
19-Jun-2020,623,4,276,343,37,0,9,22,0
20-Jun-2020,627,5,285,337,4,1,9,20,0
21-Jun-2020,635,5,285,345,8,0,0,21,0
22-Jun-2020,643,6,291,346,8,1,6,20,0
23-Jun-2020,674,7,319,348,31,1,28,22,0
24-Jun-2020,690,7,331,352,16,0,12,18,0
25-Jun-2020,706,8,347,351,16,1,16,17,1
26-Jun-2020,728,8,367,353,22,0,20,15,1
27-Jun-2020,745,8,370,367,17,0,3,17,0
28-Jun-2020,781,11,372,398,36,3,2,21,1
29-Jun-2020,795,11,380,404,14,0,8,22,1
30-Jun-2020,812,11,408,393,17,0,28,20,1
1-Jul-2020,840,11,418,411,28,0,10,21,1
2-Jul-2020,873,11,452,410,33,0,34,24,0
3-Jul-2020,909,13,515,381,36,2,63,26,1
4-Jul-2020,954,13,535,406,45,0,20,30,1
5-Jul-2020,988,13,547,428,34,0,12,30,0
6-Jul-2020,1011,13,564,434,23,0,17,31,0
7-Jul-2020,1056,14,570,472,45,1,6,35,0
8-Jul-2020,1138,14,588,536,82,0,18,43,0
9-Jul-2020,1213,17,609,587,75,3,21,49,1
10-Jul-2020,1257,18,633,606,44,1,24,50,1
11-Jul-2020,1311,18,656,637,54,0,23,51,1
12-Jul-2020,1351,20,668,663,40,2,12,52,1
13-Jul-2020,1389,20,688,681,38,0,20,54,1
14-Jul-2020,1434,20,695,719,45,0,7,54,1
15-Jul-2020,1489,20,724,745,55,0,29,50,1
16-Jul-2020,1552,21,736,795,63,1,12,48,1
17-Jul-2020,1619,21,769,829,67,0,33,52,0
18-Jul-2020,1729,21,788,920,110,0,19,60,0
19-Jul-2020,1793,21,822,950,64,0,34,63,0
20-Jul-2020,1826,23,850,953,33,2,28,62,0
21-Jul-2020,1894,24,855,1015,68,1,5,66,1
22-Jul-2020,1938,25,876,1037,44,1,21,64,1
23-Jul-2020,2021,28,882,1111,83,3,6,67,1
24-Jul-2020,2073,28,929,1116,52,0,47,65,1
25-Jul-2020,2142,28,940,1174,69,0,11,59,1
26-Jul-2020,2207,32,986,1189,65,4,46,59,2
27-Jul-2020,2316,34,1025,1257,109,2,39,70,2
28-Jul-2020,2404,39,1025,1340,88,5,0,73,2
29-Jul-2020,2551,40,1070,1441,147,1,45,88,2
30-Jul-2020,2577,40,1134,1403,26,0,64,79,2
31-Jul-2020,2648,41,1214,1393,71,1,80,82,2
1-Aug-2020,2706,43,1214,1449,58,2,0,81,2
2-Aug-2020,2775,43,1214,1518,69,0,0,81,2
3-Aug-2020,2838,45,1253,1540,63,2,39,75,2
4-Aug-2020,2856,49,1258,1549,18,4,5,65,1
5-Aug-2020,2909,53,1385,1471,53,4,127,51,2
6-Aug-2020,2968,55,1476,1437,59,2,91,56,2
7-Aug-2020,3036,56,1476,1504,68,1,0,55,2
8-Aug-2020,3128,56,1565,1507,92,0,89,60,2
9-Aug-2020,3236,58,1607,1571,108,2,42,66,2
10-Aug-2020,3309,61,1634,1614,73,3,27,67,2
11-Aug-2020,3410,63,1720,1627,101,2,86,79,2
12-Aug-2020,3525,63,1910,1552,115,0,190,88,1
13-Aug-2020,3599,65,1991,1543,74,2,81,90,1
14-Aug-2020,3670,68,1991,1611,71,3,0,91,2
15-Aug-2020,3745,69,2268,1408,75,1,277,88,2
16-Aug-2020,3839,70,2268,1501,94,1,0,86,2
17-Aug-2020,3894,73,2371,1450,55,3,103,84,2
18-Aug-2020,3989,76,2587,1326,95,3,216,83,2
19-Aug-2020,4058,79,2611,1368,69,3,24,76,2
20-Aug-2020,4110,81,2643,1386,52,2,32,73,2
21-Aug-2020,4128,81,2682,1365,18,0,39,65,2
22-Aug-2020,4189,83,2762,1344,61,2,80,63,2
23-Aug-2020,4225,85,2898,1242,36,2,136,55,2
24-Aug-2020,4304,85,2936,1283,79,0,38,59,2
25-Aug-2020,4327,86,2959,1282,23,1,23,48,1
26-Aug-2020,4387,88,3078,1221,60,2,119,47,1
27-Aug-2020,4433,89,3115,1229,46,1,37,46,1
28-Aug-2020,4461,91,3210,1160,28,2,95,48,1
29-Aug-2020,4510,91,3359,1060,49,0,149,46,1
30-Aug-2020,4561,91,3478,992,51,0,119,48,1
31-Aug-2020,4577,91,3529,957,16,0,51,39,1
1-Sep-2020,4618,94,3562,962,41,3,33,42,1
2-Sep-2020,4668,94,3585,989,50,0,23,40,1
3-Sep-2020,4820,94,3789,937,152,0,204,55,1
4-Sep-2020,4780,94,3844,842,-40,0,55,46,0
5-Sep-2020,4819,94,3903,822,39,0,59,44,0
6-Sep-2020,4853,94,3951,808,34,0,48,42,0
7-Sep-2020,4884,94,4029,761,31,0,78,44,0
8-Sep-2020,4904,96,4059,749,20,2,30,41,0
9-Sep-2020,4936,97,4077,762,32,1,18,38,0
10-Sep-2020,4994,98,4103,793,58,1,26,25,1
11-Sep-2020,5025,98,4165,762,31,0,62,35,1
12-Sep-2020,5050,98,4188,764,25,0,23,33,1
13-Sep-2020,5075,98,4229,748,25,0,41,32,1
14-Sep-2020,5104,101,4374,629,29,3,145,31,1
15-Sep-2020,5128,101,4401,626,24,0,27,32,1
16-Sep-2020,5155,101,4418,636,27,0,17,31,1
17-Sep-2020,5191,103,4439,649,36,2,21,28,1
